dicom_id,study_id,len_sucio,len_limpio,chars_recortados,fue_recortado,bleu4_sucio,bleu4_limpio,bleu4_delta,rougeL_sucio,rougeL_limpio,rougeL_delta,radgraph_sucio,radgraph_limpio,radgraph_delta,bertscore_p_sucio,bertscore_p_limpio,bertscore_p_delta,bertscore_r_sucio,bertscore_r_limpio,bertscore_r_delta,bertscore_f1_sucio,bertscore_f1_limpio,bertscore_f1_delta
2630b0b8-2d5af3a6-1a02c2ca-952e9535-b44c35ee,53368584,497,431,66,True,0.2333510800901594,0.10498773264616372,-0.1283633474439957,0.3548387096774193,0.31578947368421056,-0.03904923599320875,0.25925925925925924,0.28,0.020740740740740782,0.7889668941497803,0.7670258283615112,-0.021941065788269043,0.8198528289794922,0.7731946706771851,-0.04665815830230713,0.8041133880615234,0.7700978517532349,-0.034015536308288574
599b85f2-1459d013-e1a5ac24-9f73ad92-aaf0dc22,53368584,1244,574,670,True,0.05827905840995609,0.053132966508311154,-0.005146091901644938,0.1653543307086614,0.2698412698412698,0.10448693913260843,0.19607843137254902,0.1509433962264151,-0.04513503514613393,0.7406415939331055,0.7551822066307068,0.014540612697601318,0.811032235622406,0.7713886499404907,-0.03964358568191528,0.7742403149604797,0.7631993889808655,-0.011040925979614258
a3eabe82-0debb47b-bb826366-f4897953-799e5aae,55439624,448,382,66,True,0.03252761236493021,0.010360131859296415,-0.022167480505633795,0.1818181818181818,0.15929203539823011,-0.02252614641995168,0.125,0.11764705882352941,-0.00735294117647059,0.7383838891983032,0.7033832669258118,-0.035000622272491455,0.7622735500335693,0.7382140159606934,-0.024059534072875977,0.7501385807991028,0.7203779220581055,-0.029760658740997314
ad41d9ed-37ff140e-afe872af-224a8477-f98ac392,55439624,605,618,0,False,0.05512878687203368,0.01584079984788651,-0.03928798702414717,0.20779220779220778,0.18055555555555558,-0.027236652236652198,0.1111111111111111,0.11594202898550725,0.004830917874396143,0.723209023475647,0.6888568997383118,-0.034352123737335205,0.7711204886436462,0.741922914981842,-0.0291975736618042,0.7463967204093933,0.7144058346748352,-0.031990885734558105
53a0e91c-79580b39-f184232b-f105311f-eb2e51d2,59238247,410,213,197,True,0.02455734334067097,0.0050873758185148036,-0.019469967522156167,0.23287671232876714,0.16071428571428573,-0.07216242661448141,0.03846153846153846,0.0,-0.03846153846153846,0.7394059896469116,0.7488642334938049,0.00945824384689331,0.7207491397857666,0.6886699199676514,-0.032079219818115234,0.7299583554267883,0.7175068259239197,-0.012451529502868652
a631cd7c-8da83d3e-b01eff09-adbbd532-d35221b8,59238247,600,336,264,True,0.024767699282182396,0.008631244291458342,-0.016136454990724053,0.20809248554913296,0.12403100775193798,-0.08406147779719497,0.029850746268656712,0.0,-0.029850746268656712,0.7340548634529114,0.7185733318328857,-0.015481531620025635,0.7355676889419556,0.6921813488006592,-0.04338634014129639,0.734810471534729,0.7051304578781128,-0.02968001365661621
2134c2ee-d0accf09-60867899-ebfd91cb-740492f2,56644724,719,417,302,True,0.04319884095503175,0.009736017154520283,-0.033462823800511465,0.1793103448275862,0.18823529411764706,0.008924949290060852,0.05714285714285715,0.060606060606060615,0.0034632034632034667,0.7205134630203247,0.7030625343322754,-0.017450928688049316,0.7896215319633484,0.7456866502761841,-0.04393488168716431,0.7534862160682678,0.7237475514411926,-0.029738664627075195
d3374daa-668dfc88-b06827c7-07a5aa23-8527ce6f,56644724,719,417,302,True,0.04319884095503175,0.009736017154520283,-0.033462823800511465,0.1793103448275862,0.18823529411764706,0.008924949290060852,0.05714285714285715,0.060606060606060615,0.0034632034632034667,0.7205134630203247,0.7030625343322754,-0.017450928688049316,0.7896215319633484,0.7456866502761841,-0.04393488168716431,0.7534862160682678,0.7237475514411926,-0.029738664627075195
fc08b4f9-a67dd3a8-8bc68820-858e5989-bb651ebd,54394630,1485,636,849,True,0.06072866063211133,0.02248581405581957,-0.03824284657629176,0.17629179331306988,0.18085106382978727,0.004559270516717395,0.042105263157894736,0.05333333333333333,0.011228070175438594,0.7552927732467651,0.722668468952179,-0.03262430429458618,0.8076648116111755,0.7465598583221436,-0.06110495328903198,0.7806013822555542,0.7344199419021606,-0.046181440353393555
6976b759-a3c21932-f5fed21a-f20c3a55-f6b2a31e,54850191,917,415,502,True,0.015747098402974526,0.018451750246426216,0.0027046518434516893,0.11707317073170731,0.11764705882352941,0.0005738880918221001,0.125,0.12903225806451615,0.004032258064516153,0.7332584857940674,0.7286468744277954,-0.004611611366271973,0.7812796235084534,0.7259024381637573,-0.055377185344696045,0.7565077543258667,0.727272093296051,-0.029235661029815674
